accX,accY,accZ
-12.863,-19.608,-13.804
-13.647,-19.922,-13.961
-13.333,-20.392,-13.647
-13.176,-20.392,-13.647
-13.02,-19.922,-13.49
-13.647,-19.608,-13.333
-15.216,-17.412,-13.804
-15.686,-15.373,-13.961
-16.941,-11.294,-15.373
-19.294,-7.843,-16.157
-20.549,-5.804,-15.686
-22.745,-4.235,-13.647
-22.902,-4.549,-12.078
-20.549,-5.49,-10.353
-18.98,-5.647,-10.196
-15.373,-6.745,-10.039
-14.588,-7.216,-10.039
-13.02,-8.314,-9.569
-11.922,-8.784,-8.471
-10.196,-9.882,-8.157
8.471,-18.353,2.196
21.961,-19.922,10.039
50.667,-17.412,8
37.961,-13.647,3.765
-8.784,-9.412,0.314
-12.235,-11.765,-6.275
-4.078,-15.059,-7.373
-4.392,-16.627,-5.647
-4.706,-11.765,-2.667
-0.314,-8,-1.882
4.392,-5.333,-9.725
-3.922,-8.314,-7.686
-5.647,-12.549,-4.392
-1.098,-13.647,-2.039
0.157,-8.941,-1.098
1.098,-8.471,-2.98
-0.471,-9.725,-4.392
-1.569,-10.039,-3.608
-1.725,-9.569,-2.039
-2.039,-8.627,-2.353
-1.412,-9.098,-3.294
1.569,-10.353,-2.667
2.824,-10.353,-2.667
1.255,-10.196,-2.98
0.314,-10.353,-3.137
0.941,-10.353,-2.667
0.941,-9.882,-3.137
0,-8.314,-3.137
-0.471,-8.157,-3.294
1.412,-9.098,-3.137
1.725,-9.255,-3.765
0.784,-9.098,-3.922
0.471,-9.098,-3.451
1.412,-9.255,-2.824
0.941,-8.471,-3.294
0.627,-8.627,-3.451
-0.157,-8.627,-3.608
1.255,-8.941,-2.824
1.255,-8.941,-3.294
0,-8.627,-3.922
0.314,-8.784,-3.294
1.725,-8.627,-3.294
1.255,-8.471,-3.765
0.314,-8.627,-4.706
0.627,-8.784,-4.392
0.784,-9.098,-3.608
-0.157,-8.941,-3.451
-1.412,-8.627,-3.451
-0.157,-9.412,-2.667
-0.157,-9.569,-2.196
0,-9.255,-3.137
-0.314,-9.098,-3.294
-0.784,-9.569,-3.294
-0.314,-10.039,-2.824
-0.157,-9.569,-3.608
-0.784,-9.882,-4.235
-0.784,-10.353,-4.078
0.471,-10.667,-4.235
-0.314,-10.51,-4.549
-2.039,-10.51,-4.549
-1.882,-10.98,-3.608
-0.627,-11.294,-3.922
-2.51,-10.98,-4.235
-2.667,-11.451,-4.235
-2.196,-12.235,-3.608
-1.882,-12.078,-4.235
-3.137,-12.549,-4.392
-3.294,-12.863,-4.078
-2.98,-13.49,-2.98
-2.196,-13.333,-2.824
-2.824,-13.647,-2.353
-2.196,-14.745,-1.098
-0.471,-15.686,-0.314
-0.157,-16,-1.569
0.157,-15.843,-0.941
0.314,-16.784,-0.627
0.941,-17.255,-0.314
1.882,-17.098,-0.941
1.098,-17.098,-2.667
1.569,-17.255,-2.824
2.98,-17.412,-3.765
4.078,-17.569,-4.078
4.863,-18.353,-4.863
4.863,-18.51,-5.49
4.078,-18.196,-4.078
2.196,-17.882,-3.608
2.039,-15.373,-7.529
-0.941,-12.706,-9.412
-1.412,-12.235,-8.941
0.157,-8.784,-10.039
2.353,-5.961,-9.569
1.882,-7.059,-6.275
3.294,-9.098,-1.882
7.843,-8.157,-0.157
8.471,-4.392,0.471
8,-3.451,0.471
5.647,-2.824,0.314
4.549,-2.196,0
4.078,-1.569,-0.314
4.392,-1.569,-0.157
3.922,-2.824,-0.471
3.608,-3.294,-0.471
2.353,-3.608,-0.471
1.882,-3.922,-0.627
1.725,-4.235,-0.627
2.51,-4.863,-0.941
2.667,-5.333,-1.255
2.667,-6.275,-1.882
2.667,-7.059,-2.353
1.412,-8.314,-3.608
0.941,-9.412,-5.647
0.471,-9.882,-6.431
0.157,-10.824,-7.686
0,-11.608,-8.157
-1.255,-13.176,-8.471
-1.882,-13.961,-8.471
-4.078,-16.314,-9.412
-4.863,-17.255,-10.353
-8.314,-18.353,-12.706
-11.451,-18.824,-13.804
-13.49,-19.137,-13.961
-14.902,-19.765,-13.804
-14.745,-19.765,-13.333
-14.588,-19.294,-12.863
-14.745,-18.98,-12.235
-15.843,-17.412,-12.078
-16.314,-15.373,-12.549
-18.667,-11.294,-14.745
-21.333,-7.216,-16.941
-22.745,-4.863,-17.098
-25.412,-2.98,-13.961
-25.569,-3.765,-12.392
-22.431,-5.647,-9.725
-20.549,-6.431,-9.569
-18.667,-7.529,-9.725
-10.51,-10.824,-10.353
3.922,-14.902,-3.922
40.314,-18.98,3.451
52.392,-20.078,3.451
6.745,-14.902,3.608
-14.588,-10.667,2.039
-3.137,-12.549,-2.98
-1.255,-15.529,-4.235
-4.078,-14.118,-3.137
-1.882,-7.529,0.314
-0.157,-7.843,0.784
2.353,-7.216,-9.725
-1.255,-9.882,-8.941
-2.98,-14.588,-4.706
-0.471,-16.471,-2.353
-0.784,-11.137,-0.314
0.471,-7.843,-3.137
-0.157,-7.843,-4.235
-2.353,-8,-3.765
-2.039,-8.157,-3.137
2.039,-8.627,-2.667
2.353,-9.255,-2.667
1.569,-9.569,-2.98
2.039,-9.882,-2.353
2.98,-9.725,-2.353
1.725,-9.725,-3.137
0.471,-10.039,-4.078
-0.157,-9.412,-2.667
0.941,-9.098,-2.824
1.255,-8.627,-3.608
0.627,-8.941,-3.608
1.412,-9.725,-2.667
1.882,-9.725,-2.353
1.255,-9.569,-2.667
-0.157,-9.255,-2.667
0.784,-9.569,-2.51
0.941,-8.784,-3.294
0.314,-8.784,-3.608
-0.471,-9.255,-3.451
0.471,-9.569,-3.137
1.098,-8.627,-3.922
0,-8.471,-4.235
-0.314,-8.471,-4.078
1.882,-8.941,-3.608
1.882,-8.784,-4.706
0.314,-8.627,-4.235
0.157,-8.941,-4.078
1.569,-8.941,-3.451
1.569,-8.627,-3.608
-0.627,-8.157,-4.549
-2.824,-9.255,-3.137
-2.51,-9.882,-2.98
-2.039,-9.882,-2.98
-2.824,-9.569,-3.294
-2.667,-9.725,-2.353
-1.412,-9.882,-1.882
-0.627,-9.569,-2.039
-2.039,-9.255,-2.667
-2.196,-9.725,-2.196
-0.314,-10.039,-2.98
-0.471,-10.196,-3.608
-0.784,-10.353,-5.176
-0.314,-10.824,-4.863
0,-11.451,-4.706
-0.314,-10.824,-5.02
-2.196,-10.667,-4.078
-1.569,-11.608,-2.667
-0.941,-11.922,-2.667
-1.569,-12.078,-4.078
-2.196,-11.922,-4.235
-2.039,-13.333,-3.608
-1.569,-13.961,-3.294
-2.196,-14.431,-3.608
-2.039,-15.843,-2.196
-1.569,-15.843,-1.725
-0.471,-16.314,-0.941
-0.627,-17.098,-0.784
-0.157,-18.039,0
0.314,-18.51,0.471
2.039,-18.824,-0.471
1.882,-18.824,-1.255
1.725,-18.039,-2.98
0.784,-18.196,-3.294
1.098,-18.98,-2.98
5.333,-18.039,-6.902
6.588,-18.196,-7.216
5.176,-18.51,-4.392
3.451,-17.255,-3.294
3.137,-15.059,-5.804
0,-12.863,-7.843
-1.882,-11.765,-7.373
0.314,-8.627,-8.471
2.196,-6.431,-7.216
-0.314,-5.961,-6.275
0.627,-7.529,-3.294
6.118,-7.686,-1.255
7.059,-5.961,-0.471
5.961,-3.451,0.314
3.922,-2.51,0
3.608,-2.196,-0.314
2.824,-1.569,-0.314
3.137,-1.725,-0.314
2.98,-2.353,-0.627
2.667,-2.51,-0.627
2.196,-3.137,-0.157
1.725,-3.294,-0.314
1.569,-3.608,-0.157
1.569,-4.078,-0.314
1.569,-4.706,-0.471
2.196,-5.49,-0.784
2.039,-5.961,-1.412
1.725,-7.216,-2.353
1.412,-8,-2.824
1.098,-9.255,-3.765
0.784,-10.667,-4.549
0.314,-11.451,-5.333
-0.941,-13.333,-6.275
-1.569,-14.275,-6.588
-2.667,-16.471,-7.373
-3.922,-17.098,-7.843
-6.745,-19.137,-9.569
-8.627,-19.608,-10.51
-11.922,-20.706,-11.137
-15.373,-21.804,-12.078
-15.373,-21.961,-12.863
-15.059,-21.333,-14.275
-14.902,-20.549,-14.745
-14.275,-18.98,-16.157
-14.745,-16.627,-17.725
-18.98,-10.039,-21.333
-24.941,-4.706,-21.804
-28.392,-2.039,-20.549
-32.784,0.314,-17.569
-31.843,-0.471,-15.686
-24.314,-3.294,-13.804
-20.235,-4.706,-13.02
-14.431,-7.529,-14.745
-2.039,-11.451,-7.529
37.804,-18.98,0.471
54.118,-21.647,0.784
20.078,-19.608,-1.725
-21.647,-8,-6.275
-3.451,-11.137,0
-6.275,-17.725,-2.98
-8.627,-14.275,-1.725
-5.49,-5.647,1.569
1.412,-5.02,-6.588
-6.275,-6.431,-9.412
-7.059,-13.961,-5.961
-5.49,-15.216,-4.863
-2.98,-13.49,-0.627
-2.667,-10.51,-2.98
-0.471,-9.569,-2.98
1.412,-9.725,-3.294
-0.784,-8,-3.451
-1.098,-7.686,-3.922
-0.627,-8.941,-3.608
0.784,-10.039,-2.98
0.941,-9.725,-3.137
0.941,-10.039,-3.137
0.471,-10.196,-3.765
1.882,-10.667,-3.608
1.255,-9.412,-3.608
-0.314,-8.941,-4.078
-0.627,-9.255,-2.353
-0.314,-8.627,-3.137
-0.314,-9.098,-3.294
-0.471,-9.255,-4.078
0.627,-9.725,-3.294
1.098,-9.725,-2.98
0.314,-8.627,-3.922
0,-9.569,-3.765
0,-9.725,-2.824
0,-9.255,-3.451
-0.471,-9.255,-3.608
-0.941,-8.471,-4.549
-0.157,-9.098,-3.451
1.255,-8.784,-4.235
1.098,-8.627,-4.706
0,-8.941,-5.02
0.157,-10.196,-2.667
0.157,-10.196,-2.824
-0.784,-9.412,-3.608
-1.412,-9.255,-3.137
-0.784,-9.412,-2.196
0,-9.725,-2.039
-0.471,-9.098,-3.608
-1.098,-9.412,-2.824
-0.314,-9.725,-2.51
-0.157,-8.941,-3.608
-0.784,-8.471,-3.765
-0.784,-8.784,-2.667
-0.471,-9.098,-1.882
-0.157,-9.098,-3.765
-0.941,-9.412,-4.078
-0.941,-10.196,-3.765
0.314,-10.98,-3.922
0,-10.51,-4.863
-1.098,-10.51,-4.863
-1.569,-10.51,-4.392
-1.098,-10.98,-3.294
-1.569,-10.98,-3.765
-2.824,-10.824,-3.608
-2.824,-11.608,-3.294
-2.353,-11.922,-3.137
-2.824,-12.235,-3.922
-3.294,-12.706,-4.078
-3.137,-13.804,-2.51
-2.667,-14.431,-1.725
-2.51,-14.431,-1.725
-2.51,-14.745,-1.569
-1.725,-16.627,-0.157
-0.627,-17.569,0.627
-0.471,-18.039,0.471
-0.157,-18.98,0.314
0.784,-19.294,0
1.882,-17.882,-2.98
3.137,-17.098,-4.706
1.098,-18.353,-3.451
1.725,-18.667,-5.333
2.98,-18.196,-6.118
2.196,-18.353,-4.863
2.039,-17.725,-5.333
2.824,-15.373,-7.686
1.725,-14.275,-8.314
0,-11.294,-7.843
0,-10.196,-7.843
4.235,-5.647,-8.784
-2.039,-5.961,-6.431
-0.157,-7.216,-3.608
4.235,-6.431,-1.569
5.333,-5.02,-1.255
5.333,-2.98,-0.471
4.706,-2.667,-0.471
3.608,-1.882,-0.314
2.824,-1.412,-0.471
2.196,-1.569,-0.471
1.882,-2.039,-0.157
1.725,-2.039,-0.314
0.941,-2.353,-0.314
0.784,-2.667,-0.157
0.941,-3.451,-0.314
0.941,-3.608,-0.314
1.255,-4.078,-0.627
1.569,-5.02,-1.098
1.725,-5.49,-1.569
1.412,-6.118,-2.51
1.412,-6.745,-3.137
1.098,-7.843,-4.549
0.941,-8.157,-4.706
0.784,-9.255,-5.804
0.314,-9.882,-6.431
-0.627,-11.451,-6.745
-2.039,-13.804,-6.902
-2.824,-15.216,-7.373
-5.333,-17.255,-9.098
-7.373,-17.882,-10.51
-10.353,-18.196,-14.118
-11.608,-17.882,-15.216
-11.451,-18.039,-16
-12.863,-18.51,-14.902
-13.176,-18.353,-14.118
-13.49,-17.725,-13.02
-13.804,-17.255,-12.392
-14.588,-16,-11.922
-15.216,-14.745,-11.765
-16.627,-11.451,-14.431
-18.353,-9.725,-16.471
-22.275,-4.706,-15.843
-25.725,-2.98,-11.765
-25.569,-3.294,-10.039
-19.608,-7.216,-9.412
-18.353,-7.373,-8.941
-7.059,-9.255,-6.275
8.314,-13.804,-1.255
38.902,-19.608,2.824
14.745,-19.137,-2.51
-4.078,-14.588,-5.176
-1.255,-10.824,-0.784
3.294,-12.549,-1.882
-1.255,-10.667,-4.706
-2.667,-7.373,-3.608
-1.882,-8.471,-2.824
-0.157,-10.039,-5.176
-4.706,-11.608,-4.549
-4.235,-13.176,-2.51
-2.039,-13.02,-2.196
-0.471,-10.824,-0.941
-0.941,-9.725,-2.51
-1.255,-8.941,-4.392
-0.941,-9.569,-3.922
-0.157,-9.569,-3.765
0.627,-8.784,-3.451
1.569,-8.471,-3.294
3.451,-9.725,-1.725
3.922,-9.725,-1.725
3.765,-9.725,-2.039
3.294,-9.412,-1.725
4.392,-9.725,-0.784
3.765,-9.412,-1.098
2.98,-8.627,-2.98
2.353,-8.471,-3.137
3.451,-8.941,-2.667
3.922,-8.471,-2.98
3.451,-8.627,-3.137
1.569,-9.412,-2.51
1.882,-9.882,-1.725
0.784,-9.569,-2.353
0.471,-9.098,-3.137
0.157,-9.255,-2.667
1.882,-9.725,-3.294
1.098,-9.255,-3.608
-0.157,-8.941,-3.922
0.314,-9.255,-3.765
1.098,-9.255,-3.608
0.471,-9.098,-3.608
-0.314,-8.627,-4.235
0,-9.569,-2.98
0.784,-9.412,-3.451
0.471,-8.784,-5.176
0.157,-8.471,-5.333
0.157,-9.882,-3.608
0.157,-10.353,-2.98
-0.784,-9.569,-4.392
-1.098,-9.725,-4.392
-1.098,-9.882,-2.667
0.157,-9.725,-2.353
-0.471,-9.098,-2.824
-1.569,-8.941,-2.353
-0.784,-9.412,-1.569
0.157,-9.882,-2.667
-0.314,-9.569,-2.98
-1.098,-9.725,-3.765
0,-10.824,-3.294
0.157,-10.824,-4.235
-0.784,-10.353,-5.333
-1.569,-10.353,-4.392
-0.941,-10.824,-3.451
-0.627,-10.667,-3.451
-1.725,-10.824,-4.078
-2.353,-11.294,-3.922
-2.51,-12.078,-3.451
-2.353,-12.078,-4.235
-2.196,-12.392,-4.392
-3.137,-13.961,-2.98
-2.353,-15.373,-1.569
-1.098,-15.373,-2.98
-1.098,-16,-2.353
-1.412,-17.882,-0.784
0.157,-18.667,0.157
0.627,-19.137,0.471
2.353,-19.608,-0.314
2.824,-19.451,-0.627
3.137,-18.039,-2.824
3.451,-17.725,-4.078
0.157,-18.667,-3.451
0,-18.667,-5.02
1.569,-18.196,-5.961
0,-18.039,-4.706
0.471,-17.412,-6.118
0,-15.059,-8.314
-1.098,-13.647,-8.157
0,-11.451,-7.843
2.51,-8.784,-9.725
1.725,-5.961,-9.098
1.255,-8.627,-3.137
3.922,-9.255,-1.725
6.431,-6.118,-0.471
6.588,-4.863,0.314
5.647,-3.765,0.157
4.549,-3.137,-0.157
3.137,-2.196,-0.314
3.294,-1.725,-0.314
3.608,-2.039,-0.471
2.98,-2.196,-0.314
2.51,-2.51,-0.314
2.039,-2.667,-0.627
1.882,-3.137,-0.784
2.039,-3.294,-1.255
2.039,-3.608,-1.412
2.196,-3.922,-1.882
2.196,-4.392,-2.51
2.039,-4.706,-2.824
2.039,-5.804,-3.765
2.039,-6.275,-4.392
1.412,-7.529,-5.333
1.098,-7.843,-5.961
0.471,-8.941,-7.216
0.314,-9.569,-7.686
-0.157,-11.137,-8.314
-1.725,-13.647,-8.784
-2.353,-14.902,-9.098
-4.549,-16.941,-10.667
-5.804,-18.039,-11.922
-9.412,-18.98,-15.059
-10.667,-19.137,-16.157
-11.922,-19.765,-17.412
-14.431,-20.235,-14.902
-15.373,-20.078,-13.961
-16.627,-19.451,-12.706
-16.941,-18.98,-11.765
-16.157,-16.157,-12.078
-16,-14.275,-12.549
-17.098,-9.882,-17.098
-19.608,-7.373,-19.608
-24.314,-2.196,-18.039
-26.353,-2.51,-13.02
-24.941,-3.922,-10.824
-19.294,-6.275,-9.098
-17.569,-7.373,-8.471
-12.078,-11.137,-3.922
-0.471,-13.647,-0.314
29.02,-16.941,6.275
44.078,-18.51,5.49
19.922,-17.725,0.157
-12.235,-12.235,-1.725
-6.118,-14.275,1.255
-7.529,-17.882,-0.314
-10.824,-14.275,-1.098
-8,-4.392,1.412
-4.549,-5.961,2.196
-1.098,-9.882,-6.745
-0.627,-10.51,-11.765
0,-11.922,-9.569
4.863,-15.843,-2.824
4.078,-13.176,-1.255
-0.314,-6.431,-4.392
-0.314,-6.431,-5.02
-0.627,-10.196,-3.137
-1.725,-10.039,-2.196
-0.157,-8.471,-1.725
3.608,-9.882,-1.098
5.176,-9.882,-2.196
4.235,-9.412,-3.294
3.451,-9.569,-3.137
3.922,-10.039,-1.255
3.137,-9.412,-1.725
2.039,-8,-2.667
1.255,-8.471,-2.824
2.51,-8.941,-2.51
3.451,-9.098,-2.824
2.667,-8.784,-3.137
2.196,-9.569,-2.667
2.196,-9.882,-1.882
1.412,-9.098,-2.824
0.784,-8.627,-3.137
0.157,-8.471,-2.667
2.039,-9.255,-3.137
1.882,-9.098,-3.137
0.627,-8.471,-3.922
0.471,-8.784,-3.294
1.725,-9.255,-2.824
1.569,-9.569,-3.137
0,-8.941,-3.765
-0.157,-9.255,-2.98
0.627,-9.569,-2.824
0.157,-8.941,-3.608
-0.314,-8.941,-4.078
-0.471,-9.569,-3.608
-0.314,-9.882,-3.451
0.157,-9.569,-4.392
0,-9.255,-4.549
-1.882,-10.196,-2.039
-1.098,-10.039,-2.51
-0.627,-9.725,-2.667
-1.255,-8.941,-3.608
-1.725,-9.412,-2.51
0.157,-10.196,-2.824
0,-10.039,-3.922
-1.569,-10.039,-4.549
-1.725,-10.667,-4.235
0,-10.98,-4.235
-0.471,-10.353,-5.333
-1.725,-10.353,-4.863
-2.039,-10.667,-3.451
-1.725,-10.98,-3.608
-2.039,-10.51,-4.078
-2.824,-10.353,-3.922
-2.667,-11.294,-3.294
-2.353,-11.294,-4.235
-2.824,-11.922,-4.235
-3.451,-13.02,-3.765
-2.824,-13.333,-2.98
-1.569,-13.961,-2.98
-1.569,-14.118,-2.98
-1.098,-15.216,-1.725
-0.157,-16.157,-1.255
0.157,-17.569,-0.627
0.471,-18.51,-0.314
0.471,-18.824,0.157
1.098,-18.353,-0.784
0.941,-17.882,-1.882
0.314,-17.098,-4.706
0.157,-17.569,-5.02
1.569,-18.98,-5.647
4.235,-18.667,-5.49
3.765,-17.882,-5.804
2.353,-15.529,-5.961
2.353,-14.118,-7.373
0.157,-12.549,-8.471
-0.627,-11.294,-8.941
0.314,-8.784,-8.157
2.039,-5.49,-8.784
0.314,-4.549,-7.686
0.784,-6.588,-3.137
3.765,-6.745,-2.039
6.118,-4.392,-0.627
6.118,-3.294,0
4.392,-2.667,0.471
3.451,-2.353,0.314
2.196,-1.569,0
2.039,-1.098,0
2.039,-1.569,-0.157
1.098,-2.196,-0.157
0.784,-2.51,0.157
0.784,-2.98,0
0.784,-3.137,0
1.098,-3.765,-0.314
1.098,-3.922,-0.314
1.098,-4.706,-0.784
1.255,-5.333,-1.255
1.569,-5.647,-1.412
1.725,-7.059,-2.51
1.725,-8,-3.137
1.098,-9.098,-4.392
0.471,-9.882,-5.333
-0.627,-10.667,-6.118
-1.725,-12.235,-5.961
-1.882,-13.647,-5.961
-3.294,-16.627,-6.431
-5.176,-17.882,-7.059
-9.412,-19.137,-10.353
-10.353,-19.137,-11.608
-11.137,-18.98,-13.333
-11.922,-18.98,-14.118
-13.804,-18.353,-13.647
-16.471,-18.667,-12.235
-16.627,-18.353,-10.98
-15.216,-17.412,-9.255
-14.588,-16.941,-9.412
-14.745,-14.118,-10.353
-16.471,-12.863,-12.078
-20.549,-8.314,-16.784
-23.843,-2.824,-17.098
-25.412,-1.569,-14.275
-23.686,-3.294,-10.51
-21.804,-6.745,-9.882
-19.922,-6.745,-9.098
-9.882,-10.039,-5.02
26.353,-17.882,0
43.137,-19.608,-0.157
6.275,-17.255,-5.647
-12.863,-9.255,-6.275
-1.255,-12.549,-1.569
1.569,-16,-2.51
-0.314,-11.765,-3.451
-1.412,-6.902,0
-0.471,-8.784,-0.157
-1.412,-9.882,-5.02
-2.667,-10.353,-6.118
-2.51,-12.235,-4.235
0.627,-13.804,-1.412
-0.157,-12.078,-1.098
-0.784,-8.627,-3.451
0.314,-8.314,-3.922
1.569,-10.039,-2.824
0.941,-9.569,-2.667
2.039,-8.314,-3.137
3.765,-8.627,-1.725
5.333,-9.412,-2.353
4.078,-9.255,-2.353
2.824,-9.098,-2.824
4.235,-9.098,-2.196
4.863,-9.255,-1.725
2.824,-8.157,-3.137
1.725,-7.843,-3.765
2.196,-9.412,-2.51
3.765,-9.412,-2.667
3.137,-8.941,-2.51
1.412,-9.412,-2.196
0.784,-9.725,-1.412
1.098,-9.725,-2.039
0,-9.412,-2.353
-0.784,-9.255,-2.98
1.098,-9.882,-2.98
1.569,-9.412,-3.608
0.784,-8.627,-4.078
0.314,-8.627,-3.765
1.569,-9.255,-3.294
1.725,-9.098,-3.451
0,-8.627,-3.608
-0.471,-8.784,-4.078
0,-9.725,-2.824
0.314,-8.941,-4.392
0.157,-8.941,-4.863
-0.941,-9.255,-4.392
-0.941,-10.039,-2.667
-1.412,-9.882,-3.294
-1.882,-9.882,-3.451
-2.824,-9.882,-2.824
-1.412,-10.039,-1.882
-1.412,-10.039,-1.725
-1.882,-9.569,-2.353
-1.725,-9.725,-1.882
-0.157,-9.725,-2.196
-0.471,-9.412,-2.824
-0.784,-9.255,-3.922
-1.569,-9.882,-4.078
-0.471,-10.51,-4.235
-0.941,-10.353,-5.647
-1.569,-10.353,-5.333
-1.882,-10.824,-3.294
-1.569,-10.98,-3.137
-2.353,-10.667,-3.137
-2.824,-10.824,-3.294
-2.667,-11.608,-2.98
-2.196,-11.608,-4.235
-2.196,-12.078,-4.549
-2.824,-13.49,-3.922
-2.667,-14.275,-3.294
-1.412,-14.745,-2.98
-1.725,-14.745,-3.294
-0.784,-16.627,-2.196
0,-17.569,-1.412
1.255,-18.98,-0.784
1.569,-19.451,-1.412
1.412,-19.608,-1.412
0.784,-19.137,-2.51
0.627,-18.824,-3.451
0,-18.667,-4.235
0.471,-18.98,-5.961
6.275,-17.882,-8.471
7.529,-18.196,-7.059
3.451,-16.157,-4.078
1.098,-13.804,-5.961
-0.314,-13.02,-7.686
-4.549,-10.196,-8.941
-4.549,-8.784,-9.098
0.941,-5.02,-7.686
2.824,-4.549,-5.02
2.196,-6.275,-3.451
6.275,-6.745,-0.784
7.216,-5.647,-0.157
5.961,-3.294,0.784
4.706,-2.98,0.784
2.98,-2.039,0.314
2.353,-2.039,0.157
2.196,-2.039,-0.157
2.039,-2.667,-0.157
1.725,-3.137,-0.157
1.569,-3.765,0.157
1.569,-4.078,0.157
1.255,-4.078,0
1.255,-4.235,-0.314
1.725,-5.176,-0.314
2.353,-5.804,0
3.137,-6.745,-0.471
1.569,-7.373,-2.039
0.784,-7.686,-3.137
-0.941,-8,-5.02
-0.941,-7.843,-5.49
0.157,-8.627,-6.431
0.157,-9.255,-7.059
-0.314,-10.824,-7.529
-1.098,-11.922,-8
-3.137,-14.431,-8.471
-5.02,-16.471,-10.196
-5.804,-17.098,-11.294
-8,-17.882,-14.588
-8.941,-17.882,-15.686
-10.51,-18.667,-17.882
-11.451,-18.667,-18.196
-14.275,-19.137,-16.627
-16.941,-18.51,-14.431
-17.882,-18.039,-13.176
-18.824,-16,-12.549
-18.667,-13.961,-12.392
-17.255,-9.569,-16
-17.725,-7.216,-17.725
-21.961,-3.294,-18.039
-24.157,-2.196,-15.843
-25.098,-2.667,-10.98
-21.176,-5.333,-8.157
-17.725,-10.353,-7.216
-8,-12.235,1.098
7.843,-14.275,3.765
41.569,-19.137,5.804
49.569,-21.02,4.235
-6.431,-15.373,-4.392
-7.059,-12.392,-0.471
-2.196,-15.686,-0.157
-10.51,-15.373,-0.784
-10.667,-8.627,-1.725
-2.51,-6.588,0.627
0.471,-8.784,-3.451
-1.255,-10.824,-10.353
-2.039,-12.235,-8
0.941,-14.275,-3.451
2.98,-10.98,-0.784
1.725,-8.784,-2.353
-0.471,-7.529,-5.49
-1.569,-8.941,-4.549
0,-10.353,-1.569
0.627,-9.725,-2.039
2.824,-9.569,-2.353
5.02,-9.255,-2.51
7.529,-9.569,-2.353
5.647,-8.784,-2.51
5.176,-7.686,-3.451
3.451,-7.529,-2.824
3.765,-8.314,-2.196
2.98,-8.314,-3.451
2.824,-8.627,-3.451
1.882,-8.941,-2.353
3.137,-9.569,-2.196
1.412,-9.725,-2.353
-0.314,-9.255,-2.667
-0.157,-9.569,-2.196
0.627,-9.882,-2.824
0.471,-9.255,-3.137
0,-9.255,-3.137
1.098,-9.725,-2.51
2.039,-9.412,-3.294
0.784,-8.471,-3.922
0.314,-8.471,-4.235
0.941,-9.255,-2.824
1.412,-8.941,-3.765
0.314,-8.471,-4.235
-0.314,-8.471,-4.235
0.314,-9.098,-4.078
0.314,-9.098,-3.608
0,-9.255,-3.608
-2.353,-9.725,-3.451
-1.725,-9.882,-2.667
-0.784,-9.569,-2.98
-1.569,-9.098,-3.451
-2.353,-9.725,-2.824
-1.725,-9.569,-2.353
-1.098,-8.941,-3.137
-1.725,-8.784,-3.765
-2.039,-9.098,-3.922
-0.784,-10.196,-3.294
-0.471,-10.196,-4.235
